5386,,,,,,,,
Ari,IC     167,1,51,6,+,21,55,0
Cet,IC     168,1,50,30,-,8,32,0
Cet,IC     169,1,50,36,-,12,41,0
Cet,IC     170,1,52,0,-,8,32,0
Tri,IC     171,1,55,12,+,35,17,0
Cet,IC     172,1,54,54,+,0,49,0
Cet,IC     173,1,56,0,+,1,17,0
Psc,IC     174,1,56,18,+,3,46,0
Cet,IC     175,1,56,18,+,1,20,0
Cet,IC     176,1,56,54,-,2,1,0
Cet,IC     177,1,57,6,-,0,9,0
And,IC     178,1,58,54,+,36,37,0
And,IC     179,2,0,12,+,38,2,0
Ari,IC     180,2,0,0,+,23,37,0
Ari,IC     181,2,0,0,+,23,40,0
Psc,IC     182,1,59,48,+,7,25,0
Cet,IC     183,1,59,36,-,5,22,0
Cet,IC     184,1,59,54,-,6,50,0
Cet,IC     185,2,0,6,-,1,31,0
Cet,IC     186,2,0,24,-,1,33,0
Tri,IC     187,2,1,54,+,26,28,0
Tri,IC     188,2,2,0,+,27,2,0
Ari,IC     189,2,1,54,+,23,33,0
Ari,IC     190,2,2,6,+,23,32,0
Ari,IC     191,2,2,30,+,18,22,0
Ari,IC     192,2,2,30,+,16,1,0
Ari,IC     193,2,2,42,+,11,5,0
Cet,IC     194,2,3,6,+,2,36,0
Ari,IC     195,2,3,42,+,14,42,0
Ari,IC     196,2,3,54,+,14,43,0
Psc,IC     197,2,4,6,+,2,47,0
Psc,IC     198,2,6,6,+,9,17,0
Psc,IC     199,2,6,18,+,9,13,0
Tri,IC     200,2,7,24,+,31,10,0
Cet,IC     201,2,7,18,+,9,6,0
Cet,IC     202,2,7,30,+,9,10,0
Cet,IC     203,2,7,30,+,9,7,0
Cet,IC     204,2,7,24,-,1,23,0
Cet,IC     205,2,7,24,-,2,6,0
Cet,IC     206,2,7,30,-,7,2,0
Cet,IC     207,2,7,42,-,6,59,0
Cet,IC     208,2,8,24,+,6,23,0
Cet,IC     209,2,9,0,-,7,4,0
Cet,IC     210,2,9,24,-,9,40,0
Cet,IC     211,2,11,6,+,3,52,0
Ari,IC     212,2,13,36,+,16,36,0
Ari,IC     213,2,14,0,+,16,28,0
Cet,IC     214,2,14,0,+,5,11,0
Cet,IC     215,2,14,12,-,6,47,0
Cet,IC     216,2,15,48,-,2,1,0
Cet,IC     217,2,16,12,-,11,56,0
Cet,IC     218,2,17,6,+,1,18,0
Cet,IC     219,2,18,36,-,6,55,0
Cet,IC     220,2,19,12,-,12,47,0
Tri,IC     221,2,22,42,+,28,16,0
Ari,IC     222,2,22,42,+,11,38,0
Cet,IC     223,2,22,0,-,20,45,0
Cet,IC     224,2,24,42,-,12,34,0
Cet,IC     225,2,26,30,+,1,9,0
Tri,IC     226,2,27,42,+,28,11,0
Tri,IC     227,2,28,0,+,28,10,0
Cet,IC     228,2,26,42,-,14,31,0
Cet,IC     229,2,27,24,-,23,49,0
Cet,IC     230,2,28,48,-,10,50,0
Cet,IC     231,2,30,0,+,1,10,0
Cet,IC     232,2,31,12,+,1,15,0
Cet,IC     233,2,31,36,+,2,49,0
Cet,IC     234,2,31,42,-,0,8,0
Ari,IC     235,2,32,48,+,20,39,0
